team,market_type,bookmaker,odds,implied_probability_raw,implied_probability_no_vig,odds_timestamp,source_name,source_url_or_page_title,is_example,is_real_data,data_status,collection_date,notes
AFC Bournemouth,title_winner,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
AFC Bournemouth,top_4,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
AFC Bournemouth,top_5,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
AFC Bournemouth,relegation,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
AFC Bournemouth,top_half,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
AFC Bournemouth,bottom_half,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
AFC Bournemouth,golden_boot,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
Arsenal,title_winner,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
Arsenal,top_4,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
Arsenal,top_5,,,,,2026-08-17T22:26:26+00:00,none_available,,False,False,unavailable,2026-08-17,No live outright-odds feed is connected to this pipeline. Season-level benchmarking against market outrights is unavailable until a real feed is wired in; do not use these rows to influence match-level predictions.
